Defence,Noise Level,Iteration,Model Pairing,Method Name,Real Samples,Generated Samples,Noised Samples,Stolen Model Accuracy,Original Model Accuracy,Protected Model Accuracy
Rounded,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,4,3,3,0.3020012128562765,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,4,3,3,0.3602183141297756,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,4,3,3,0.42813826561552454,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,4,3,3,0.4954517889630079,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,4,3,3,0.4420861127956337,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,4,3,3,0.49302607640994545,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,6,5,5,0.4572468162522741,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,6,5,5,0.36628259551243175,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,6,5,5,0.38447543966040026,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,28,27,27,0.6258338386901152,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,28,27,27,0.6555488174651304,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,28,27,27,0.6446331109763493,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,56,54,54,0.7283201940570042,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,56,54,54,0.7252880533656761,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,56,54,54,0.7307459066100667,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,85,81,81,0.7719830200121286,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,85,81,81,0.7786537295330503,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,85,81,81,0.7913887204366282,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,113,108,108,0.8411158277744087,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,113,108,108,0.8471801091570649,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,113,108,108,0.8229229836264402,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,142,135,135,0.834445118253487,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,142,135,135,0.8350515463917526,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,142,135,135,0.8241358399029715,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,168,163,163,0.8508186779866586,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,168,163,163,0.853244390539721,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,168,163,163,0.8550636749545178,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,197,190,190,0.8859915100060642,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,197,190,190,0.8896300788356579,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,197,190,190,0.8671922377198302,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,225,217,217,0.9017586416009703,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,225,217,217,0.905397210430564,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,225,217,217,0.9047907822922984,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,254,244,244,0.9205579138872043,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,254,244,244,0.9351121892055791,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,254,244,244,0.9235900545785325,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,282,271,271,0.9557307459066101,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,282,271,271,0.9508793208004851,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,282,271,271,0.9417828987265009,0.9939357186173439,0.9939357186173439
Rounded,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,4,3,3,0.11582777440873257,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,4,3,3,0.20012128562765313,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,4,3,3,0.28077622801698,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,4,3,3,0.3590054578532444,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,4,3,3,0.3947847180109157,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,4,3,3,0.35961188599151,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,6,5,5,0.40812613705275924,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,6,5,5,0.4948453608247423,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,6,5,5,0.4954517889630079,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,28,27,27,0.5809581564584597,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,28,27,27,0.5797453001819285,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,28,27,27,0.5918738629472408,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,56,54,54,0.6682838083687083,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,56,54,54,0.7283201940570042,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,56,54,54,0.7313523347483323,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,85,81,81,0.7835051546391752,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,85,81,81,0.782292298362644,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,85,81,81,0.7738023044269254,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,113,108,108,0.7938144329896907,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,113,108,108,0.8235294117647058,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,113,108,108,0.8271679805942995,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,142,135,135,0.8508186779866586,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,142,135,135,0.8465736810187993,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,142,135,135,0.8253486961795027,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,168,163,163,0.87689508793208,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,168,163,163,0.8726500909642207,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,168,163,163,0.8750758035172832,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,197,190,190,0.8829593693147362,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,197,190,190,0.9005457853244391,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,197,190,190,0.8920557913887205,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,225,217,217,0.9005457853244391,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,225,217,217,0.9041843541540328,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,225,217,217,0.8963007883565798,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,254,244,244,0.9296543359611886,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,254,244,244,0.9272286234081262,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,254,244,244,0.9248029108550637,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,282,271,271,0.9345057610673135,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,282,271,271,0.9442086112795633,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,282,271,271,0.9326864766525167,0.9927228623408126,0.9927228623408126
Rounded,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,4,3,3,0.1716191631291692,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Argmax CopycatCNN,4,3,3,0.26864766525166767,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,4,3,3,0.23226197695573075,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,4,3,3,0.17828987265009097,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Argmax CopycatCNN,4,3,3,0.13523347483323225,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,4,3,3,0.15281989084293512,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,6,5,5,0.30563978168587025,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Argmax CopycatCNN,6,5,5,0.21285627653123104,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,6,5,5,0.27349909035779263,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,28,27,27,0.44026682838083686,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Argmax CopycatCNN,28,27,27,0.4899939357186173,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,28,27,27,0.5087932080048514,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,56,54,54,0.530018192844148,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Argmax CopycatCNN,56,54,54,0.5882352941176471,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,56,54,54,0.5833838690115222,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,85,81,81,0.6209824135839903,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Argmax CopycatCNN,85,81,81,0.6161309884778654,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,85,81,81,0.6088538508186779,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,113,108,108,0.6676773802304427,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Argmax CopycatCNN,113,108,108,0.6713159490600363,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,113,108,108,0.6610066707095209,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,142,135,135,0.6992116434202547,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Argmax CopycatCNN,142,135,135,0.7265009096422074,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,142,135,135,0.7228623408126137,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,168,163,163,0.7265009096422074,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Argmax CopycatCNN,168,163,163,0.7216494845360825,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,168,163,163,0.7004244996967859,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,197,190,190,0.7786537295330503,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Argmax CopycatCNN,197,190,190,0.7689508793208005,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,197,190,190,0.774408732565191,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,225,217,217,0.7252880533656761,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Argmax CopycatCNN,225,217,217,0.7228623408126137,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,225,217,217,0.71922377198302,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,254,244,244,0.7349909035779261,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Argmax CopycatCNN,254,244,244,0.7234687689508793,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,254,244,244,0.7295330503335354,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,282,271,271,0.7580351728320194,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Argmax CopycatCNN,282,271,271,0.7568223165554882,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,282,271,271,0.7531837477258945,0.9957550030321407,0.7513644633110976
Rounded,0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,4,3,3,0.2110369921164342,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,4,3,3,0.3026076409945421,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,4,3,3,0.34627046694966646,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,4,3,3,0.35172832019405703,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,4,3,3,0.3007883565797453,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,4,3,3,0.4111582777440873,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,6,5,5,0.4802910855063675,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,6,5,5,0.48696179502728926,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,6,5,5,0.5081867798665858,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,28,27,27,0.6252274105518496,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,28,27,27,0.6385688295936931,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,28,27,27,0.6494845360824743,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,56,54,54,0.739842328684051,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,56,54,54,0.7550030321406913,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,56,54,54,0.7543966040024257,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,85,81,81,0.8071558520315343,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,85,81,81,0.810794420861128,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,85,81,81,0.8047301394784718,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,113,108,108,0.8380836870830807,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,113,108,108,0.8405093996361431,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,113,108,108,0.8259551243177683,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,142,135,135,0.8556701030927835,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,142,135,135,0.853244390539721,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,142,135,135,0.8447543966040024,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,168,163,163,0.8835657974530018,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,168,163,163,0.8872043662825955,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,168,163,163,0.8829593693147362,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,197,190,190,0.8641600970285022,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,197,190,190,0.8684050939963615,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,197,190,190,0.8714372346876895,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,225,217,217,0.9072164948453608,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,225,217,217,0.9072164948453608,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,225,217,217,0.8993329290479078,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,254,244,244,0.9211643420254699,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,254,244,244,0.9241964827167981,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,254,244,244,0.9114614918132201,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,282,271,271,0.9357186173438448,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,282,271,271,0.9387507580351728,0.9939357186173439,0.992116434202547
Rounded,0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,282,271,271,0.9205579138872043,0.9939357186173439,0.992116434202547
Rounded,0.1,1,Hydra-LSTM,Probabilistic CopycatCNN,4,3,3,0.29533050333535477,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Argmax CopycatCNN,4,3,3,0.34202546998180716,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Adaptive KnockoffNets,4,3,3,0.3905397210430564,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Probabilistic CopycatCNN,4,3,3,0.36810187992722865,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Argmax CopycatCNN,4,3,3,0.42449969678593086,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Adaptive KnockoffNets,4,3,3,0.4475439660400243,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Probabilistic CopycatCNN,6,5,5,0.5081867798665858,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Argmax CopycatCNN,6,5,5,0.5294117647058824,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Adaptive KnockoffNets,6,5,5,0.553668890236507,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Probabilistic CopycatCNN,28,27,27,0.6713159490600363,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Argmax CopycatCNN,28,27,27,0.7277137659187386,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Adaptive KnockoffNets,28,27,27,0.7337780473013947,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Probabilistic CopycatCNN,56,54,54,0.7725894481503942,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Argmax CopycatCNN,56,54,54,0.7695573074590661,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Adaptive KnockoffNets,56,54,54,0.7677380230442693,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Probabilistic CopycatCNN,85,81,81,0.7816858702243784,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Argmax CopycatCNN,85,81,81,0.782292298362644,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Adaptive KnockoffNets,85,81,81,0.7847180109157065,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Probabilistic CopycatCNN,113,108,108,0.8198908429351122,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Argmax CopycatCNN,113,108,108,0.8174651303820497,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Adaptive KnockoffNets,113,108,108,0.7950272892662219,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Probabilistic CopycatCNN,142,135,135,0.8574893875075803,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Argmax CopycatCNN,142,135,135,0.8605215281989085,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Adaptive KnockoffNets,142,135,135,0.8538508186779866,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Probabilistic CopycatCNN,168,163,163,0.8708308065494239,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Argmax CopycatCNN,168,163,163,0.8720436628259551,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Adaptive KnockoffNets,168,163,163,0.865979381443299,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Probabilistic CopycatCNN,197,190,190,0.8914493632504549,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Argmax CopycatCNN,197,190,190,0.8878107944208611,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Adaptive KnockoffNets,197,190,190,0.8593086719223771,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Probabilistic CopycatCNN,225,217,217,0.8835657974530018,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Argmax CopycatCNN,225,217,217,0.8811400848999393,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Adaptive KnockoffNets,225,217,217,0.8708308065494239,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Probabilistic CopycatCNN,254,244,244,0.9066100667070952,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Argmax CopycatCNN,254,244,244,0.9066100667070952,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Adaptive KnockoffNets,254,244,244,0.8993329290479078,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Probabilistic CopycatCNN,282,271,271,0.9157064887810794,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Argmax CopycatCNN,282,271,271,0.9144936325045482,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Hydra-LSTM,Adaptive KnockoffNets,282,271,271,0.9017586416009703,0.9818071558520315,0.9818071558520315
Rounded,0.1,1,Arsenal-LSTM,Probabilistic CopycatCNN,4,3,3,0.16798059429957551,0.9957550030321407,0.8708308065494239
Rounded,0.1,1,Arsenal-LSTM,Argmax CopycatCNN,4,3,3,0.1400848999393572,0.9957550030321407,0.8708308065494239
Rounded,0.1,1,Arsenal-LSTM,Adaptive KnockoffNets,4,3,3,0.12795633717404487,0.9957550030321407,0.8708308065494239
Rounded,0.1,1,Arsenal-LSTM,Probabilistic CopycatCNN,4,3,3,0.23104912067919953,0.9957550030321407,0.8708308065494239
Rounded,0.1,1,Arsenal-LSTM,Argmax CopycatCNN,4,3,3,0.19041843541540326,0.9957550030321407,0.8708308065494239
Rounded,0.1,1,Arsenal-LSTM,Adaptive KnockoffNets,4,3,3,0.19345057610673136,0.9957550030321407,0.8708308065494239
Rounded,0.1,1,Arsenal-LSTM,Probabilistic CopycatCNN,6,5,5,0.21467556094602788,0.9957550030321407,0.8708308065494239
Rounded,0.1,1,Arsenal-LSTM,Argmax CopycatCNN,6,5,5,0.19890842935112188,0.9957550030321407,0.8708308065494239
